event_id,customer_id,event_type,amount,status,timestamp,decline_code,attempt_number,fraud_score,retry_cooldown_hours,ptp_date
EVT_1000,CUST_001,UPI_PAYMENT_FAIL,4815,FAILED,2025-01-10 11:00:00,NETWORK_TIMEOUT,1,0.22,2,2025-01-11
EVT_1001,CUST_001,SUBSCRIPTION_FAIL,4121,FAILED,2024-09-01 09:35:00,INSUFFICIENT_FUNDS,2,0.24,24,
EVT_1002,CUST_002,CART_ABANDON,165,DROPPED,2024-12-02 01:45:00,INSUFFICIENT_FUNDS,3,0.11,24,
EVT_1003,CUST_003,CART_ABANDON,3538,DROPPED,2024-12-08 20:50:00,INSUFFICIENT_FUNDS,2,0.26,24,
EVT_1004,CUST_004,UPI_PAYMENT_FAIL,3616,FAILED,2024-12-29 17:20:00,INSUFFICIENT_FUNDS,1,0.28,24,
EVT_1005,CUST_005,CART_ABANDON,861,DROPPED,2024-11-14 12:05:00,CARD_EXPIRED,2,0.92,48,
EVT_1006,CUST_006,UPI_PAYMENT_FAIL,4329,FAILED,2024-08-08 15:25:00,INSUFFICIENT_FUNDS,3,0.19,24,
EVT_1007,CUST_006,UPI_PAYMENT_FAIL,4762,FAILED,2025-01-02 17:05:00,CARD_EXPIRED,1,0.25,48,2025-01-07
EVT_1008,CUST_007,SUBSCRIPTION_FAIL,2880,FAILED,2024-09-23 14:30:00,HIGH_SHIPPING_COST,2,0.27,2,
EVT_1009,CUST_008,UPI_PAYMENT_FAIL,601,FAILED,2024-10-05 22:40:00,NETWORK_TIMEOUT,3,0.18,2,
EVT_1010,CUST_008,CART_ABANDON,4970,DROPPED,2024-12-25 06:30:00,HIGH_SHIPPING_COST,1,0.27,2,
EVT_1011,CUST_009,SUBSCRIPTION_FAIL,1455,FAILED,2025-01-04 22:20:00,CARD_EXPIRED,2,0.09,48,
EVT_1012,CUST_010,SUBSCRIPTION_FAIL,1167,FAILED,2024-10-13 11:55:00,INSUFFICIENT_FUNDS,1,0.27,24,
EVT_1013,CUST_010,SUBSCRIPTION_FAIL,2250,FAILED,2024-10-08 21:45:00,INSUFFICIENT_FUNDS,3,0.14,24,
EVT_1014,CUST_011,CART_ABANDON,124,DROPPED,2024-10-27 14:35:00,INSUFFICIENT_FUNDS,1,0.16,24,
EVT_1015,CUST_011,UPI_PAYMENT_FAIL,830,FAILED,2024-10-13 11:25:00,HIGH_SHIPPING_COST,1,0.27,2,
EVT_1016,CUST_012,SUBSCRIPTION_FAIL,733,FAILED,2024-09-30 20:05:00,HIGH_SHIPPING_COST,1,0.14,2,2024-10-02
EVT_1017,CUST_013,CART_ABANDON,2654,DROPPED,2024-12-04 21:00:00,NETWORK_TIMEOUT,3,0.15,2,
EVT_1018,CUST_013,CART_ABANDON,1508,DROPPED,2024-08-29 17:10:00,INSUFFICIENT_FUNDS,3,0.02,24,
EVT_1019,CUST_014,SUBSCRIPTION_FAIL,3861,FAILED,2024-11-15 08:20:00,HIGH_SHIPPING_COST,1,0.07,2,2024-11-17
EVT_1020,CUST_015,CART_ABANDON,3024,DROPPED,2024-12-05 08:10:00,HIGH_SHIPPING_COST,1,0.08,2,
EVT_1021,CUST_015,SUBSCRIPTION_FAIL,398,FAILED,2024-09-08 09:20:00,INSUFFICIENT_FUNDS,3,0.01,24,2024-09-09
EVT_1022,CUST_016,SUBSCRIPTION_FAIL,4288,FAILED,2024-09-01 08:15:00,INSUFFICIENT_FUNDS,3,0.02,24,2024-09-05
EVT_1023,CUST_016,SUBSCRIPTION_FAIL,3670,FAILED,2024-08-19 15:20:00,CARD_EXPIRED,1,0.18,48,
EVT_1024,CUST_017,CART_ABANDON,4966,DROPPED,2024-12-10 06:40:00,CARD_EXPIRED,1,0.0,48,
EVT_1025,CUST_018,SUBSCRIPTION_FAIL,715,FAILED,2024-12-01 08:05:00,HIGH_SHIPPING_COST,3,0.07,2,
EVT_1026,CUST_018,SUBSCRIPTION_FAIL,3636,FAILED,2024-12-02 19:00:00,CARD_EXPIRED,2,0.12,48,2024-12-05
EVT_1027,CUST_019,CART_ABANDON,439,DROPPED,2024-08-31 21:10:00,INSUFFICIENT_FUNDS,2,0.26,24,
EVT_1028,CUST_020,SUBSCRIPTION_FAIL,403,FAILED,2024-12-27 14:00:00,INSUFFICIENT_FUNDS,2,0.09,24,
EVT_1029,CUST_020,SUBSCRIPTION_FAIL,3461,FAILED,2025-01-01 07:30:00,HIGH_SHIPPING_COST,1,0.28,2,
EVT_1030,CUST_021,UPI_PAYMENT_FAIL,2791,FAILED,2024-08-27 13:05:00,CARD_EXPIRED,3,0.02,48,
EVT_1031,CUST_022,SUBSCRIPTION_FAIL,4130,FAILED,2024-10-13 06:40:00,CARD_EXPIRED,1,0.15,48,2024-10-16
EVT_1032,CUST_022,SUBSCRIPTION_FAIL,4361,FAILED,2024-09-29 17:25:00,INSUFFICIENT_FUNDS,2,0.24,24,
EVT_1033,CUST_023,CART_ABANDON,1474,DROPPED,2024-11-23 03:50:00,NETWORK_TIMEOUT,2,0.02,2,
EVT_1034,CUST_024,UPI_PAYMENT_FAIL,1433,FAILED,2024-12-17 09:25:00,CARD_EXPIRED,3,0.07,48,
