event_id,resolved,resolution_channel,resolved_amount,resolution_timestamp
EVT_1000,True,WhatsApp,4815.0,2025-01-12 06:00:00
EVT_1001,False,,0.0,
EVT_1002,True,SMS,165.0,2024-12-02 05:45:00
EVT_1003,False,,0.0,
EVT_1004,True,Email,3616.0,2024-12-30 06:20:00
EVT_1005,False,,0.0,
EVT_1006,False,,0.0,
EVT_1007,False,,0.0,
EVT_1008,False,,0.0,
EVT_1009,True,WhatsApp,601.0,2024-10-07 19:40:00
EVT_1010,False,,0.0,
EVT_1011,False,,0.0,
EVT_1012,False,,0.0,
EVT_1013,False,,0.0,
EVT_1014,False,,0.0,
EVT_1015,False,,0.0,
EVT_1016,True,WhatsApp,733.0,2024-09-30 21:05:00
EVT_1017,False,,0.0,
EVT_1018,False,,0.0,
EVT_1019,False,,0.0,
EVT_1020,True,Email,3024.0,2024-12-05 11:10:00
EVT_1021,False,,0.0,
EVT_1022,False,,0.0,
EVT_1023,False,,0.0,
EVT_1024,False,,0.0,
EVT_1025,False,,0.0,
EVT_1026,True,Email,3636.0,2024-12-04 06:00:00
EVT_1027,False,,0.0,
EVT_1028,True,Email,403.0,2024-12-27 21:00:00
EVT_1029,False,,0.0,
EVT_1030,False,,0.0,
EVT_1031,False,,0.0,
EVT_1032,True,Email,4361.0,2024-10-01 10:25:00
EVT_1033,True,Email,1474.0,2024-11-23 15:50:00
EVT_1034,True,WhatsApp,1433.0,2024-12-18 17:25:00
EVT_1035,False,,0.0,
EVT_1036,False,,0.0,
EVT_1037,False,,0.0,
EVT_1038,True,Email,4872.0,2024-11-29 23:35:00
EVT_1039,False,,0.0,
EVT_1040,False,,0.0,
EVT_1041,False,,0.0,
EVT_1042,False,,0.0,
EVT_1043,True,SMS,3291.0,2024-12-28 18:25:00
EVT_1044,True,Email,3708.0,2024-11-03 23:45:00
EVT_1045,False,,0.0,
EVT_1046,False,,0.0,
EVT_1047,False,,0.0,
EVT_1048,True,Email,1220.0,2024-12-06 06:30:00
EVT_1049,False,,0.0,
EVT_1050,False,,0.0,
EVT_1051,False,,0.0,
EVT_1052,False,,0.0,
EVT_1053,True,WhatsApp,4929.0,2024-10-24 06:35:00
EVT_1054,False,,0.0,
EVT_1055,True,SMS,346.0,2024-09-20 04:10:00
EVT_1056,False,,0.0,
EVT_1057,False,,0.0,
EVT_1058,True,WhatsApp,3618.0,2024-11-05 05:20:00
EVT_1059,False,,0.0,
EVT_1060,False,,0.0,
EVT_1061,False,,0.0,
EVT_1062,False,,0.0,
EVT_1063,True,Email,3475.0,2024-11-10 08:40:00
EVT_1064,False,,0.0,
EVT_1065,False,,0.0,
EVT_1066,False,,0.0,
EVT_1067,False,,0.0,
EVT_1068,False,,0.0,
EVT_1069,False,,0.0,
EVT_1070,False,,0.0,
EVT_1071,False,,0.0,
EVT_1072,False,,0.0,
EVT_1073,True,Email,3120.0,2024-12-26 18:35:00
EVT_1074,False,,0.0,
EVT_1075,False,,0.0,
EVT_1076,False,,0.0,
EVT_1077,True,Email,2651.0,2024-10-24 16:45:00
EVT_1078,False,,0.0,
